CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	1423997	1068219	1098183	1104169	1046634	1179392	1028727	1187087	1190213	1278449	1202616	1112760	1343058	1343058	1384650	1132506	984255	1078259	1078259	1237868	867645	828081	1091370	1078846	1075150	983721	782386	999102	1015616	931975	554727	577561	605705	605705	630800	505241	316525	329653	329504	473678	441304	403926	651542	651542	482683	468199	429523	379762	380222	516778	228761	204725	505691	505691	610930	324902	151779	213217	212844	350087	255992	218400	279388	279388	261554	193462	139352	139352	139352	129420	139352	129187
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	268411	311023	244107	244107	66518	101448	194369	26594	31694	74577	277829	100166	165795	165795	62079	150177	276797	325929	325929	193460	154943	262568	322682	322424	173249	134429	195802	240983	261983	98525	84551	110003	151574	151574	20963	159841	56325	12738	12738	40944	98696	97370	134547	134547	6390	142389	200376	40590	40847	8337	11531	37357	282929	282929	305654	119907	1844	1251	1251	9968	11699	399	2668	2668	10882	4123	7698	7698	7698	20939	7698	34892
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	9516	8616	8616	8616	6616	12299	5100	5100	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	92285	82285	0	86000	0	21000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	337459	221000	242328	245362	399212	346705	228571	288856	291982	475397	323694	332005	412561	412561	397046	354429	177453	250967	250967	382057	170495	178590	208407	208665	263535	228278	144069	183550	237307	313922	253105	161229	131490	131490	226333	108990	88308	128733	128595	105494	85936	73417	122058	122058	190153	118428	74548	90080	90284	207125	66030	52402	57652	57652	106693	83243	54106	94459	94072	127129	94161	77922	107483	107483	75481	97037	35124	35124	35124	59398	35124	37506
Hàng tồn kho###Inventory	775198	504624	577710	580663	556048	699084	584272	837299	837299	695318	573353	657077	736345	736345	895014	607047	506348	476874	476874	624691	511825	358172	441418	438914	610142	506093	423015	531635	493325	501482	204260	291000	300126	300126	346964	215487	160964	181272	181272	317732	243840	225085	387451	387451	275439	197292	148494	243228	243228	287173	146246	110844	161158	161158	189524	114638	92724	111912	111912	200078	142112	135249	162920	162920	166650	87102	87087	87087	87087	43072	87087	44074
Tài sản ngắn hạn khác###Other Current Assets	33413	22956	25421	25421	18240	19856	16415	29238	29238	33158	27740	23512	28357	28357	30510	20853	23657	24488	24488	27660	20382	18752	26579	26559	28224	28921	19500	21933	23000	18046	12810	15329	22515	22515	36540	20923	10928	6910	6899	9508	12832	8054	7486	7486	10701	10090	6105	5863	5863	14142	4954	4123	3951	3951	9059	7114	3106	5594	5608	12912	8020	4831	6317	6317	8541	5200	9443	9443	9443	6010	9443	12715
Tài sản dài hạn###Non-current Assets	511925	449896	422656	415532	318893	332183	315871	308157	299740	333347	328496	308087	306693	306693	321119	294953	315840	295762	295762	300388	297655	253682	252589	262589	259357	249047	213983	190800	137811	144327	172131	133814	136065	136065	141997	142768	139282	129307	129307	132221	137159	122753	126507	126507	133942	134158	128417	122212	122212	121043	113329	113894	117716	117587	126358	131570	127744	121903	121254	115595	102625	105557	103773	103773	89121	86193	78493	78493	78493	73653	78493	94145
Các khoản phải thu dài hạn###Long term Account Receivable	0	1508	3034	0	0	0	0	0	0	0	0	0	0	0	368	368	368	368	368	368	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	331302	261852	267153	267153	259106	264910	278395	276025	276025	280339	265428	268252	276213	276213	285491	222835	222881	234252	234252	230261	229730	213302	217679	224714	203138	203504	90825	96844	96844	98518	95819	116326	118082	118082	128269	129603	125974	98454	114482	116113	119838	105072	75718	107928	109087	107735	101519	72995	93977	91410	83107	82712	86035	85465	88550	92128	86977	80909	80820	77896	64258	66429	64095	64095	48873	45615	51481	51481	51481	56575	51481	78244
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-509209	-491645	-473679	-473679	-456437	-439692	-427622	-411877	-411877	-395888	-381400	-366567	-351480	-351480	-337589	-325134	-313687	-301630	-301630	-289904	-278205	-267214	-256194	-256194	-245921	-235731	-229013	-223597	-223597	-217698	-213702	-210380	-204860	-204860	-199009	-193960	-195473	-191604	-191604	-186719	-181940	-179243	-175365	-175365	-173472	-169744	-166274	-163005	-163005	-160802	-158997	-159925	-157924	-158004	-154496	-150805	-147278	-143729	-143691	-140495	-137296	-133990	-130849	-130849	0	-123648	-115757	-115757	0	0	-115757	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1024	-1187	-1152	-1152	-1117	-1170	-1048	-1012	-1012	-975	-938	-901	-864	-864	-827	-793	-767	-735	-735	-700	-665	-630	-598	-1283	-1204	-1135	-1066	-1152	-1152	-1078	-1004	-928	-852	-902	-826	-750	-678	-612	-612	-565	-523	-486	-461	-461	-438	-414	-391	-367	-367	-346	-326	-305	-284	-284	-263	-243	-222	-201	-201	-186	-175	-165	-155	-155	0	-134	-116	-116	0	0	-116	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	400	400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	10400	14880	14880	14880	14880	14880	15240	15240	15240	15240	15240	20160	20160	20160	20160	20160	25360	25360	25460	25460	25460	25460	25460	11060	11060	11060	1060	11060	1060
Tài sản dài hạn khác###Other long term assets	177068	131949	47262	46124	56270	56671	36211	19492	14201	45813	40395	32421	27884	27884	31822	31040	30638	32367	32367	36648	43550	34009	34371	27336	28362	28685	17174	10193	10331	8248	7328	7088	7584	7584	3328	2764	2908	4425	4425	5708	6921	7281	8179	8179	9975	11543	12019	13355	13355	14393	14983	15942	16441	16882	17647	19282	20607	20835	20274	12338	13007	13668	14218	14218	14788	15118	15951	15951	15951	16017	15951	14841
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1935922	1518115	1520839	1519701	1365528	1511575	1344598	1495244	1489954	1611796	1531112	1420847	1649751	1649751	1705769	1427458	1300095	1374021	1374021	1538256	1165299	1081763	1343959	1341435	1334507	1232768	996369	1189902	1153426	1076302	726857	711375	741771	741771	772797	648009	455807	458960	458811	605899	578464	526679	778049	778049	616626	602356	557940	501973	502434	637821	342090	318620	623407	623278	737288	456471	279522	335120	334098	465682	358618	323957	383161	383161	350675	279654	217845	217845	217845	203073	217845	223331
Nợ phải trả ###Liabilities	988633	539047	582081	507528	623554	765431	648265	806305	804601	984289	962107	833647	1075557	1075557	1150530	1020800	913341	898370	898370	1037525	701917	627388	998927	998829	939947	852711	636857	800607	770532	813455	480431	479410	506278	506332	564963	443332	250910	302494	302348	468537	443566	375412	606298	606294	463238	453144	403946	335788	336453	490663	203118	166157	473406	469766	594812	315905	135454	181331	181118	315908	207367	160775	224364	220216	241310	178680	104446	110935	104446	110232	104446	120810
Nợ ngắn hạn###Short term Liabilities	978323	528839	571849	497296	613983	755786	640653	798649	796945	977025	954713	826763	1068607	1068607	1143230	1013923	906335	891865	891865	1030979	695115	620493	992657	992560	933295	845988	629653	793200	763126	812925	479901	478880	505748	505802	564433	442802	250380	301964	301818	468007	443036	374872	605758	605754	462698	452614	403416	335258	335923	490133	202588	165597	472846	469206	594262	315385	134934	180811	180598	315408	206867	160275	223864	219716	241310	178680	104446	110935	104446	101272	104446	111850
Nợ dài hạn###Long term Liabilities	10309	10209	10232	10232	9571	9645	7611	7656	7656	7263	7394	6884	6950	6950	7300	6877	7006	6506	6506	6546	6803	6896	6270	6270	6652	6723	7204	7407	7407	530	530	530	530	530	530	530	530	530	530	530	530	540	540	540	540	530	530	530	530	530	530	560	560	560	550	520	520	520	520	500	500	500	500	500	0	0	0	0	0	8960	0	8960
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9940	8	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
Vốn chủ sở hữu ###Owners equity	947289	979068	938758	1012174	741973	746144	696333	688939	685353	627507	569005	587200	574194	574194	555239	406658	386754	475651	475651	500731	463382	454375	345032	342606	394561	380058	359512	389295	382894	262847	246426	231966	235493	235438	207834	204677	204896	156466	156463	137362	134898	151266	171751	171755	153388	149212	153994	166185	165981	147159	138972	152462	150001	153512	142475	140567	144069	153790	152980	149774	151251	163182	158797	162945	109365	100974	113399	106910	113399	92840	113399	102522
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	135	0	2038	2357	2483	859	1038	3524	809	861	1086	0	4148	410	1522	6489	0	6489	892	6489	5622
Vốn chủ sở hữu ###Owners equity	947289	979068	938758	1012174	741973	746144	696333	688939	685353	627507	569005	587200	574194	574194	555239	406658	386754	475651	475651	500731	463382	454375	345032	342606	394561	380058	359512	389295	382894	262847	246426	231966	235493	235438	207834	204677	204896	156466	156463	137362	134898	151266	171751	171755	153388	149212	153994	166185	165981	146645	138972	152327	150001	151474	140118	138084	143209	152752	149457	148965	150390	162096	158797	158797	108955	99452	106910	106910	106910	91947	106910	96899
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	726857	711375	741771	741771	772797	648009	455807	458960	458811	605899	578464	526679	778049	778049	616626	602356	557940	501973	502434	637821	342090	318620	623407	623278	737288	456471	279522	335120	334098	465682	358618	323957	383161	382815	350674	279654	268590	217845	217844	203073	0	223331



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	879742	713714	3730091	966368	1119581	878924	765218	3813710	983147	1078303	937886	814374	3511172	1077378	1042192	858958	532644	3085651	828721	1070203	641536	545190	2888900	792485	861068	731010	504337	2900377	749433	894554	701529	554861	2187409	683989	754263	452639	296518	1548866	453357	388407	336579	370523	1918220	610972	620394	387776	299078	1477275	516159	573262	210136	177718	940084	279530	321427	215100	124028	1017312	322992	335283	205787	153251	999764	282186	288397	215248	213932	925197	260285	300715	199524	970807
Các khoản giảm trừ doanh thu###Deduction revenues	6703	1275	20500	5070	0	7450	7980	7050	4912	0	1331	807	13331	1472	8574	2569	716	6817	2062	0	2795	1960	12180	3031	5774	3375	0	19615	7404	0	12211	0	3016	0	0	0	0	12792	0	0	0	0	19044	0	0	0	0	7254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	873039	712439	3709591	961298	1119581	871474	757238	3806660	978235	1078303	936555	813567	3497841	1075906	1033618	856389	531929	3078834	826659	1070203	638742	543230	2876721	789454	855295	727635	504337	2880762	742029	894554	689318	554861	2184394	683989	754263	452639	296518	1536074	453357	388407	336579	370523	1899176	610972	620394	387776	299078	1470021	516159	573262	210136	177718	940084	279530	321427	215100	124028	1017312	322992	335283	205787	153251	999764	282186	288397	215248	213932	925197	260285	300715	199524	970807
Giá vốn hàng bán###Cost of goods sold	797803	641837	3284871	838977	999314	765204	681376	3411980	844216	960307	866214	743957	3225302	1013676	917707	800268	493651	2840943	764475	983282	587765	505422	2604870	714297	764086	667664	461327	2652807	650585	844689	635437	530210	2050790	619047	725772	430965	278022	1435105	409490	363030	323336	352042	1782395	554322	590063	367240	289814	1369099	467111	542150	0	0	0	0	0	0	113736	0	291547	307423	191834	138455	0	257026	266784	198923	197379	0	241930	277704	178166	888366
Lợi nhuận gộp###Gross profit	75236	70602	424720	122322	120267	106270	75862	394680	134019	117996	70341	69610	272539	62230	115911	56121	38277	237891	62184	86921	50977	37809	271851	75157	91209	59971	43010	227955	91444	49865	53881	24651	133603	64941	28491	21675	18496	100969	43867	25377	13244	18481	116781	56650	30331	20536	9264	100922	49048	31111	9600	11162	50781	19957	11247	9209	10291	87842	31445	27860	13953	14795	79647	25160	21613	16325	16554	79081	18355	23012	21358	82441
Doanh thu hoạt động tài chính###Financial activities Revenues	11144	5258	18188	6030	6605	4776	2983	11164	4128	8748	4481	3262	17843	4590	-279	6025	6140	22810	6640	3695	4353	8123	17433	4813	6394	2068	4158	10206	4003	3346	4482	1369	11314	1986	3455	1952	56	8981	2405	997	3958	1621	47267	4668	5947	6654	18667	19132	8803	1080	0	0	0	0	0	0	2497	0	1225	2319	4573	789	0	1554	1860	111	346	0	232	109	450	1012
Chi phí tài chính###Financial Expenses	8274	3584	21407	3744	5906	9104	4861	34207	6731	19123	8233	8937	31831	9702	5734	8133	6894	33752	13236	10196	2075	8245	48460	8180	24069	9766	6445	18372	7777	3707	6766	3116	17674	4289	2579	5176	1764	30405	5665	6458	5507	14269	53193	14121	11348	8144	9050	27233	8242	8192	0	0	0	0	0	0	3978	0	15351	10014	4888	3885	0	3840	3829	2828	2275	0	2016	1600	1594	9363
Chi phí bán hàng###Selling Expenses	8254	19040	118076	38632	32077	26845	20522	101364	31141	32714	18598	18648	96952	25373	37999	21903	11678	71975	15157	29724	15930	11164	84638	22195	26518	20962	14964	80039	26830	22198	19740	11272	61625	18673	19752	12416	10784	51696	15964	13393	11626	10713	59059	18042	16251	13743	11024	43693	15797	15037	0	0	0	0	0	0	5407	0	10622	14930	7860	6172	0	9652	8571	9260	6500	0	6558	8520	13885	35972
Chi phí quản lý doanh nghiệp###Managing Expenses	15829	12118	69135	23475	13697	19469	12494	76602	36367	12167	14699	13368	46677	11661	12216	11601	11198	46520	9939	11399	14603	10580	60631	31222	10777	10220	8413	61601	36787	6426	8445	6137	30632	13980	6180	5056	5415	22074	5323	4197	5479	5582	23985	11407	4470	4301	3808	24778	14566	3190	3582	3440	13389	4912	3302	2831	2396	11301	3750	2261	3072	2212	9179	2388	2365	2304	2101	9685	2636	2345	4208	8888
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	54023	41118	234289	62500	75192	55629	40969	193671	63908	62740	33292	31918	114922	20083	59683	20508	14648	108453	30492	39297	22721	15943	95555	18374	36240	21091	17346	78148	24054	20881	23412	5495	34987	29986	3435	979	588	5775	19320	2327	-5410	-10462	27811	17749	4210	1003	4049	24349	19247	5773	-2875	1986	15618	11457	2034	991	1008	11722	2947	2975	2707	3316	27584	10833	8708	2044	6024	28319	7378	10654	2121	29230
Thu nhập khác###Other incomes	56	35	2272	223	2037	-29	66	428	28	314	206	5	240	116	-1243	1246	120	110	7	8	-61	156	10608	53	10543	-2534	2822	1318	223	448	875	0	837	1	0	200	636	968	250	18	549	6	768	722	2	2	43	2159	383	639	659	478	87	5	16	64	3	603	69	171	122	50	194	39	111	9	8	3800	51	1	4223	703
Chi phí khác###Other Expenses	393	0	573	2	15	480	100	73	56	128	0	15	569	0	-1248	1275	542	41	0	15	26	1	1509	649	323	-4171	4984	914	194	262	2	0	239	22	21	53	142	16	0	0	16	0	18	15	3	0	0	927	113	499	102	0	0	0	0	0	0	28	0	0	0	28	7	0	0	7	0	225	56	90	23	158
Lợi nhuận khác###Other profits	-337	34	1699	221	2022	-510	-34	355	-27	186	206	-10	-330	116	5	-29	-421	68	7	-6	-87	155	9099	-596	10220	1638	-2162	403	30	186	873	0	598	-21	-21	147	494	952	250	18	533	6	751	707	0	2	43	1233	270	140	557	478	87	5	16	64	3	575	69	171	122	22	187	39	111	2	8	3575	-4	-89	4200	545
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	53686	41153	235988	62721	77213	55119	40935	194027	63880	62926	33498	31909	114593	20199	59687	20479	14227	108522	30499	39290	22635	16098	104654	17778	46459	22728	15184	78552	24084	21067	24286	5495	35585	29964	3413	1126	1082	6726	19570	2345	-4877	-10456	28562	18455	4210	1004	4092	25582	19518	5913	-2319	2464	15705	11461	2051	1055	1011	12297	3016	3146	2829	3337	27771	10872	8819	2046	6032	31894	7373	10566	6321	29775
Chi phí thuế TNDN###Corporate Income Tax Expenses	1924	843	6212	1239	911	4179	34	13531	6034	4413	5356	-500	2232	1239	767	537	-311	5757	1579	1941	1386	851	7290	-287	1956	2183	3340	15761	5298	4635	5920	1209	2847	2247	256	0	0	630	0	0	0	0	179	88	34	8	44	-1212	182	51	0	38	1743	105	17	9	10	146	22	30	34	32	276	98	85	25	66	314	313	96	59	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1662	643	6704	938	876	3902	0	15516	6154	4525	5282	-451	2148	1250	740	537	-379	5793	1783	1749	1351	910	6539	-276	1248	2128	3340	17137	6811	4635	5920	1209	2847	2247	256	204	81	630	1027	20	0	0	179	88	34	8	44	-1212	182	51	0	0	0	0	0	0	10	0	22	30	34	33	0	98	85	25	67	0	314	96	60	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	261	199	-492	301	35	276	34	-1985	-120	-111	74	-49	84	-11	27	0	68	-35	-204	192	35	-59	752	-11	708	55	0	-1375	-1513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	1743	105	17	9	0	146	0	0	0	0	276	0	0	0	0	314	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	51762	40310	229776	61482	76303	50940	40900	180496	57846	58513	28143	0	112361	0	0	0	0	102764	28920	37349	21248	15247	97363	18065	44503	20545	11843	62790	18785	16432	18366	4286	32738	27717	3157	921	1001	6096	18543	2325	-4877	-10456	28383	18367	4176	996	4048	26794	19335	5862	-2319	2426	13962	11356	2034	1046	1001	12151	2993	3116	2795	3305	27495	10774	8734	2021	5965	31581	7059	10469	6261	29775
---Cac Chi So Tai Chinh---																																																																								
EBITDA	1.24	0.76	0.24	0.24	0.38	0.42	1.03	0.97	0.97	0.98	1.02	0.29	0.51	0.51	0.67	0.83	0.85	1.04	1.04	0.94	0.87	1.02	0.79	0.79	0.95	1.07	0.90	0.87	0.87	0.51	0.42	0.12	0.06	0.06	-0.07	0.26	0.17	0.37	0.37	0.45	0.45	0.56	0.53	0.53	0.61	0.79	1.01	1.33	1.33	1.61	1.19	1.12	1.06	1.06	0.88	0.82	0.71	0.81	0.81	0.87	0.97	0.93	0.64	0.64	0.78	0.70	0.69	1.32	1.32	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	25.80	15.37	25.53	25.53	24.69	24.28	23.07	24.15	24.15	22.70	16.79	24.11	17.91	17.91	14.92	13.16	10.91	9.51	9.51	10.39	10.80	9.21	9.50	9.50	8.23	7.09	7.94	6.56	6.56	7.71	3.88	4.09	3.05	3.05	2.55	2.46	2.20	2.09	2.09	2.01	3.12	2.20	1.89	1.89	1.86	1.78	1.91	2.00	2.00	1.85	2.25	2.19	2.09	2.09	2.75	1.62	1.27	1.41	1.41	1.68	1.83	2.59	5.53	5.53	6.36	6.79	8.29	8.43	8.43	0.00	0.00	0.00
