CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	410508	357286	367344	365364	358337	397367	456192	410398	410398	404158	460581	507052	457624	457058	426780	404960	446502	420409	420589	604344	472824	490845	411324	410555	369506	371545	327794	292334	289596	301685	228954	329975	303748	306408	288649	281350	275279	260613	258313	303326	329901	397499	347131	347131	257058	246384	229553	232260	232260	138312	94879
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	32890	40816	53229	53229	54629	113067	100744	24902	24902	87135	125324	77822	87553	87553	111537	120643	88718	119548	119554	72507	83967	88385	70788	69288	75802	38966	32044	36446	36446	88969	131469	38853	49175	49175	165882	182984	187961	123850	123850	103818	48305	58006	167693	167693	161786	116819	90194	75118	75118	111974	72377
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	197000	160970	153970	153970	163500	160000	160000	185000	185000	165000	220000	230000	230000	230000	220000	180000	250000	205000	205000	250000	240000	220000	210000	211500	161500	210000	196500	176500	176500	106500	40750	165750	155000	155000	5000	5000	5000	75000	75000	65000	123000	123000	5000	5000	0	45000	65000	85000	85000	0	4929
Các khoản phải thu ngắn hạn###Short term Account Receivables	133940	100558	98996	96082	106035	92589	154341	149010	149010	123396	97440	182345	119526	119118	83393	91331	98478	82570	82745	275928	136772	167544	112212	111443	110309	105616	77888	55615	52886	84671	29141	97165	81351	84011	81852	80815	70371	38743	38127	106396	123728	191641	153939	153939	75186	59369	53403	50541	50541	19878	3046
Hàng tồn kho###Inventory	10389	15377	17159	17159	18190	12029	17759	24298	24298	19080	10746	6050	12068	11545	4248	5561	6388	11550	11550	4753	8532	11766	15601	15601	17951	14957	18334	19616	19616	16488	21328	23435	15075	15075	14995	8658	8803	18764	17269	22571	30103	19922	19281	19281	16942	20994	17810	19552	19552	5822	6917
Tài sản ngắn hạn khác###Other Current Assets	36289	39565	43990	44924	15983	19682	23348	27187	27187	9547	7071	10835	8477	8841	7603	7425	2917	1740	1740	1156	3553	3150	2723	2723	3943	2006	3028	4158	4149	5058	6266	4771	3147	3147	20920	3893	3144	4256	4067	5541	4765	4929	1218	1218	3144	4201	3146	2048	2048	638	7610
Tài sản dài hạn###Non-current Assets	509371	521883	535173	535173	525999	264822	276762	280338	280338	265403	47375	56745	53917	57843	66925	66909	67929	72684	72684	86290	237811	242476	255745	255745	280554	292335	300746	315462	315462	350160	372593	387389	397699	397682	411862	242437	252907	254502	252641	249769	250694	262207	276546	276546	276105	285876	299347	306880	306880	104600	119564
Các khoản phải thu dài hạn###Long term Account Receivable	1071	1071	1071	1071	1030	1030	1030	1030	1030	1010	1147	1147	1147	1147	1147	1147	1147	1147	1147	931	1643	1632	1632	1632	1632	1632	1632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	507524	520812	534102	534102	256046	263791	271545	279308	279308	43163	46228	49429	52638	52638	57354	62083	66782	71537	71537	70246	219689	230446	242031	242031	253364	265051	276802	288579	288579	302722	316929	330751	344866	344866	358432	183478	198208	202518	204383	219737	222819	231691	241873	241873	253935	262152	272872	282224	282294	101082	112181
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-302204	-288915	-275625	-275625	-264923	-257177	-249425	-241674	-241674	-233895	-230811	-228152	-224889	-224889	-220938	-216223	-211487	-206746	-206746	-202137	-333013	-322129	-310459	-310459	-298794	-287107	-275356	-263579	-263579	-249291	-235052	-220813	-206585	-206585	-192840	-182201	-171660	-161376	-161376	-151084	-140820	-130618	-120445	-120445	-110266	-100084	-89295	-79723	-79723	-32062	-15702
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-436	-436	-436	-436	-436	-436	-434	-422	-422	-410	-396	-382	-367	-367	-353	-338	-324	-309	-309	-295	-281	-268	-265	-265	-262	-262	-262	-262	-262	-262	-262	-262	-262	-262	-252	-241	-231	-217	-217	-195	-173	-152	-130	-130	-108	-86	-64	-42	-42	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	355	532	0	710	887	1065	1242	0	1420	1597	1597	1775	2130	1952	2130	2307	2485	2840	2840	3195	3195	3549	3549	3549	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	0	0	0	0	0	0	0	0	0	0	0	73	131	131	184	184	0	0	0	0	11427	9546	12081	12081	25295	25296	21779	26173	26173	46550	49567	55395	51414	51397	51833	58959	52747	49854	46129	27725	25390	27853	31833	31833	18976	20529	22925	21037	21037	3519	7384
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	919879	879169	902517	900538	884335	662189	732954	690736	690736	669561	507957	563797	511541	514901	493682	471870	514431	493093	493273	690634	710635	733321	667069	666300	650060	663880	628540	607797	605059	651845	601547	717364	701447	704090	700511	525562	528186	515114	510954	553095	580595	659706	623677	623677	533163	532260	528899	539140	539140	242912	214443
Nợ phải trả ###Liabilities	442945	413784	450320	448289	448647	300435	317467	287126	286887	281420	133292	162804	123905	127954	122391	110869	124156	116208	116479	320246	267718	269626	219653	219259	209075	243646	192426	178025	176422	228494	191735	267669	267284	270081	280284	144824	121293	120394	116195	170886	213816	259600	236656	236656	160579	169491	145688	167776	167776	24406	13453
Nợ ngắn hạn###Short term Liabilities	214602	172805	204045	202013	191693	182436	187099	157937	157697	119036	128789	153287	117560	126631	113948	104095	119586	113006	113730	306100	210933	219053	162925	163475	139618	166821	107355	83076	81473	124081	72968	135525	127754	130550	113341	100409	77361	69397	59035	113583	149223	192207	161973	161973	70942	79854	55565	72350	72350	24285	13453
Nợ dài hạn###Long term Liabilities	228343	240979	246275	246275	256954	117998	130368	129189	129189	162384	4503	9517	6345	1324	8442	6774	4570	3202	2748	14146	56786	50573	56728	55784	69457	76825	85071	94949	94949	104413	118767	132144	139530	139530	166942	44415	43932	50997	57159	57303	64593	67393	74683	74683	89637	89637	90123	95426	95426	120	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	476933	465385	452197	452249	435688	361754	415487	403610	403849	388141	374664	400993	387636	386946	371291	361001	390275	376885	376794	370388	442917	463695	447415	447041	440985	420234	436114	366612	428636	423352	409812	449695	374193	374202	363279	350234	371266	394720	360914	350387	337459	360248	387021	349455	336926	328475	350931	371364	341103	218506	200990
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	476933	465385	452197	452249	435688	361754	415487	403610	403849	388141	374664	400993	387636	386946	371291	361001	390275	376885	376794	370388	442917	463695	447415	447041	440985	420234	436114	366612	428636	423352	409812	449695	374193	374202	363279	350234	371266	394720	360914	350387	337459	360248	387021	349455	336926	328475	350931	371364	341103	218506	200990
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63160	63099	60647	57534	63134	59970	59807	56948	30504	35626	33825	33846	31821	29320	39857	37565	37565	35659	34294	32280	30262	30262	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601547	717364	701447	704090	700511	525562	528186	515114	510954	553095	580595	659706	623677	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	371091	312741	1390980	278096	263454	399142	447204	1550251	316164	277105	407037	549945	1291863	393458	290374	310729	297303	1140412	418033	361819	310208	247691	1064067	306963	255620	268713	232001	936798	220735	267308	184449	262933	864730	244735	230561	190341	200458	688992	143678	132475	157611	255227	690726	257532	171084	140380	121731	378997	64361	205312	93341
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	371091	312741	1390980	278096	263454	399142	447204	1550243	316164	277097	407037	549945	1291863	393458	290374	310729	297303	1140412	418033	361819	310208	247691	1064067	306963	255620	268713	232001	936798	220735	267308	184449	262933	864730	244735	230561	190341	200458	688992	143678	132475	157611	255227	690726	257532	171084	140380	121731	378997	64361	205312	93341
Giá vốn hàng bán###Cost of goods sold	346571	283710	1282324	246345	233943	377481	421507	1436757	285083	251929	373179	526566	1198462	360292	272480	289333	276357	1055575	397704	340695	273837	217152	933598	280346	220295	231145	201051	839999	202784	239187	165868	231891	768527	215826	206876	166470	180262	607975	122464	109161	142661	233100	605190	229746	156204	118377	100863	320238	50248	157680	66122
Lợi nhuận gộp###Gross profit	24520	29032	108656	31751	29511	21660	25697	113485	31081	25167	33858	23379	93401	33166	17894	21396	20945	84837	20329	21124	36371	30540	130469	26617	35325	37568	30950	96799	17951	28120	18581	31043	96203	28909	23685	23871	20196	81017	21214	23314	14951	22127	85536	27786	14880	22003	20868	58759	14113	47632	27219
Doanh thu hoạt động tài chính###Financial activities Revenues	3179	3333	14799	3328	4689	3661	3121	16881	4110	3896	5221	3653	15654	3866	3688	4111	3982	17219	4575	59363	4112	4147	13288	3290	3448	3679	2871	11245	2998	3000	2824	3031	13736	3002	3008	3766	4044	19861	4370	4654	5680	5157	20291	5146	5280	4762	5103	11375	-1851	6855	3942
Chi phí tài chính###Financial Expenses	-1949	8548	9186	2612	1696	2742	2135	2103	1903	185	12	2	447	33	26	247	107	1001	233	54744	1752	1241	6939	1191	2343	1641	1763	8947	1963	2340	2863	2875	7892	3081	1542	1739	1615	8234	1399	1736	2011	3088	20794	4011	2341	9324	5118	6646	1294	57	357
Chi phí bán hàng###Selling Expenses	763	575	9070	2886	2148	1685	1898	7569	2096	1982	1492	1999	8648	4498	808	2688	653	6490	3312	984	1083	793	3005	2177	492	335	0	533	201	237	34	162	1018	206	291	343	178	1731	399	378	454	481	0	0	0	0	0	1166	193	1726	771
Chi phí quản lý doanh nghiệp###Managing Expenses	9175	6739	40165	9706	12605	8204	9994	40699	11816	10044	10383	8456	35663	12435	7881	7065	8325	37989	13946	9578	12732	11457	48826	16689	11346	11766	9025	42016	11960	10793	8570	10590	31115	9989	7963	6943	6219	28046	7623	6469	5247	7741	27701	9226	5286	6518	6671	15313	3078	10872	8304
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	19711	16503	65034	19876	17750	12691	14791	79995	19375	16852	27192	16575	64298	20065	12867	15507	15842	56577	7413	15180	24916	21196	84988	9849	24591	27506	23032	56549	6825	17750	9938	20447	69914	18635	16897	18612	16229	62868	16163	19385	12919	15975	57332	19695	12533	10922	14182	47009	7696	41832	21728
Thu nhập khác###Other incomes	1	0	869	869	0	0	0	191	0	0	191	0	1014	0	0	317	696	118	96	23	20	0	3857	1117	2202	538	0	0	0	0	0	0	4329	1514	4001	184	97	6083	3025	295	1771	1768	8157	-1052	805	5310	3094	4198	3458	330	900
Chi phí khác###Other Expenses	725	0	219	2	206	11	0	17	0	6	0	11	285	0	0	285	0	98	0	0	-258	384	415	123	10	183	100	763	0	342	-190	317	271	1514	224	184	1	2950	2896	776	1514	284	285	-859	284	-284	1144	710	44	0	0
Lợi nhuận khác###Other profits	-724	0	650	866	-206	-11	0	174	0	-6	191	-11	728	0	0	32	696	20	96	23	278	-384	3442	995	2192	355	-100	-763	0	-342	190	-317	4057	0	3778	1	96	3132	129	-480	257	1484	7872	-193	521	5594	1950	3488	3414	330	900
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	18987	16503	65684	20742	17544	12679	14791	80169	19375	16846	27383	16564	65026	20065	12867	15539	16538	56597	7508	15202	25194	20812	88430	10844	26783	27861	22933	55786	6825	17409	10128	20129	73971	18635	20674	18613	16325	66000	16292	18904	13175	17458	65204	19502	13054	16517	16132	50497	11110	42162	22627
Chi phí thuế TNDN###Corporate Income Tax Expenses	3770	3316	13276	4181	3610	2592	2914	15952	3667	3369	5469	3207	12453	4384	2576	2991	3148	10158	1102	2062	5283	4533	21712	4789	6032	6173	5084	12652	1541	3869	2485	4598	18975	4681	5213	0	0	15196	0	0	0	4409	16828	5029	3275	4239	4285	12923	3076	7413	5637
Chi phí thuế TNDN###Corporate Income Tax Expenses	3770	3316	13276	4181	3610	2592	2914	15952	3667	3369	5469	3207	12453	4384	2576	2991	3148	10158	1102	2062	5283	4323	21922	4998	5931	6273	5084	12522	1541	3869	2485	4468	19105	4794	5213	4713	4153	15196	3774	3519	3362	4409	16828	5029	3275	4239	4285	12923	3076	7413	5637
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	-210	-210	101	-101	0	130	0	0	0	130	-130	-113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	15217	13188	52407	16561	13934	10087	11877	64216	15708	13477	21914	13357	52573	15682	10291	12547	13390	46438	6406	13140	19911	16279	79199	6056	20751	21688	17849	54529	5284	13540	7643	15532	54997	13954	15461	13899	12172	50804	12518	15386	9813	13049	48376	14474	9779	12277	11847	37574	8034	34749	16990
---Cac Chi So Tai Chinh---																																																			
EBITDA	0.10	0.21	-0.03	-0.03	-0.08	0.01	0.11	0.03	0.03	0.09	0.05	-0.07	0.20	0.20	0.21	0.54	0.55	0.23	0.23	0.27	0.23	0.27	0.34	0.34	0.54	0.74	1.25	1.36	1.36	1.38	1.39	0.69	0.42	0.42	0.39	0.73	0.94	0.94	0.94	0.90	0.30	-0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.37	8.88	9.94	9.94	10.88	10.73	10.69	9.99	9.99	10.17	9.32	9.15	9.31	9.31	9.01	8.71	7.28	6.50	6.50	7.94	8.51	7.77	8.37	8.37	7.33	7.00	5.91	6.21	6.21	6.62	5.61	6.33	5.42	5.42	3.80	3.62	3.06	2.82	2.82	2.26	3.06	3.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
