CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	312524	206009	220583	220583	222171	218038	249663	320107	320107	295342	230049	209297	173693	173693	185445	233708	199907	185980	185980	252771	350316	233514	227278	225797	246113	305190	180801	215659	215659	288875	293682	293682	290851	290851	161506	127890
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	14173	11442	65737	65737	36693	8606	47616	107831	107831	44741	35056	54182	89085	89085	40005	90568	134138	145514	145514	110753	176974	31475	89228	89228	58641	67343	23368	37663	37663	48786	41884	41884	127687	127687	120458	64999
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	191165	132227	68911	68911	102604	128789	112033	100808	100808	172384	160539	135079	36279	36279	85499	123499	52873	39394	39394	119651	119784	121508	60575	59695	89989	136549	71242	58489	58489	109904	96190	96190	68410	68410	18208	17406
Hàng tồn kho###Inventory	107113	62338	85931	85931	82874	80632	89787	111227	111227	78162	34287	9458	47317	47317	58483	19093	12454	290	290	20968	53115	78354	74652	74652	94769	96947	82925	116937	116937	125183	149848	149848	88967	88967	21301	43508
Tài sản ngắn hạn khác###Other Current Assets	73	2	3	3	1	11	228	242	242	56	168	577	1013	1013	1458	547	442	782	782	1399	444	2176	2822	2222	2714	4351	3266	2570	2570	5001	5761	5761	3187	3187	1539	1977
Tài sản dài hạn###Non-current Assets	22780	24076	25456	25456	26338	27603	29077	30802	30802	31005	31190	32659	35101	35101	38163	36863	37485	38533	38533	38316	39610	51460	53490	53490	52937	52753	55228	56513	56513	57991	48313	48313	33325	33325	34612	12563
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	837	837	837	880	880	880	880	880	880	880	880	880	880	890	890	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	22023	22973	23975	23975	24997	26018	26916	27915	27915	28755	29685	30703	31710	31710	32535	33556	34353	35167	35167	36189	37234	48460	50050	50050	49814	50120	51551	52297	52297	53851	44993	44839	30373	30373	32896	10971
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-28680	-27877	-27021	-27021	-26148	-25274	-24410	-23556	-23556	-22683	-21803	-20931	-20069	-20069	-19193	-18320	-17464	-16627	-16627	-15753	-14856	-18306	-16863	-16863	-15479	-13352	-12067	-11466	-11466	-9962	-6216	-6216	-5556	-5556	-2756	-997
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-4940	-4793	-4647	-4647	-4499	-4351	-4204	-4059	-4059	-3911	-3762	-3616	-3471	-3471	-3322	-3174	-3028	-2882	-2882	-2735	-2587	-2440	-2294	-2294	-2146	-1998	-1851	-1706	-1706	-1558	-1118	-1118	-660	-660	-208	-37
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	874	874	874	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	757	1103	1482	1482	1341	1584	2161	2887	2887	2250	1505	1956	2554	2554	4791	2426	2251	2485	2485	1246	1496	2120	2560	2560	2243	1633	1913	3342	3342	3266	3320	3320	2952	2952	1716	1496
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	335305	230085	246039	246039	248509	245640	278740	350909	350909	326347	261239	241956	208794	208794	223608	270571	237392	224513	224513	291087	389927	284974	280768	279287	299050	357943	236029	272171	272171	346866	341995	341995	324175	324175	196118	140453
Nợ phải trả ###Liabilities	175139	72875	89809	89809	95979	85203	120162	193168	193168	171597	108623	80246	47729	47729	63942	114288	74267	65014	65014	125303	229172	121158	119152	118538	132328	198943	68607	109000	109000	181076	182708	182708	167461	167461	56380	26586
Nợ ngắn hạn###Short term Liabilities	175139	72875	89809	89809	95979	85203	120162	193168	193168	171597	108623	80246	47729	47729	63942	114288	74267	65014	65014	125303	229172	121158	119152	118538	132328	198943	68607	109000	109000	181076	182708	182708	167286	167286	56160	24331
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	174	220	2254
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	160165	157210	156230	156230	152530	160438	158579	157741	157741	154750	152616	161710	161065	161065	159666	156283	163125	159499	159499	165784	160755	163816	161615	160749	166722	158999	167422	163171	163171	165790	159287	159287	156715	156715	139738	113868
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	160165	157210	156230	156230	152530	160438	158579	157741	157741	154750	152616	161710	161065	161065	159666	156283	163125	159499	159499	165784	160755	163816	161615	160749	166722	158999	167422	163171	163171	165790	159287	159287	156715	156715	139738	113868
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q3 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	569265	430947	1941733	626954	524463	447138	343178	2414697	561186	658988	715030	479493	2123364	408805	577776	690795	445988	2188710	417532	567044	709829	494306	2695424	676578	685040	758639	575167	2845602	693746	744331	733914	3358074	617218	3691110	2338471	1383114
Các khoản giảm trừ doanh thu###Deduction revenues	15185	3439	17535	9494	4483	3557	0	35402	29002	6400	0	0	28678	8532	4946	11339	3861	22753	8454	6772	5322	2205	22293	7039	6767	5839	2648	24210	5032	3468	2417	21634	7548	41661	21903	6651
Doanh thu thuần###Net Sales	554080	427508	1924198	617460	519980	443581	343178	2379295	532184	652588	715030	479493	2094687	400273	572830	679456	442127	2165958	409077	560272	704507	492102	2673131	669539	678273	752800	572519	2821392	688714	740863	731497	3336440	609671	3649449	2316568	1376463
Giá vốn hàng bán###Cost of goods sold	533839	416384	1860204	598607	505183	425885	330529	2306970	509580	635226	694186	467977	2019785	383233	554764	659519	422269	2071763	385498	535660	679031	471574	2562297	640999	645250	728359	548571	2712487	660391	716486	703204	3218254	584752	3546253	2255194	1320958
Lợi nhuận gộp###Gross profit	20241	11124	63994	18852	14797	17696	12649	72325	22603	17362	20844	11516	74902	17041	18065	19937	19858	94195	23580	24612	25476	20528	110834	28540	33023	24441	23948	108905	28323	24378	28293	118186	24919	103196	61373	55504
Doanh thu hoạt động tài chính###Financial activities Revenues	133	212	465	16	25	237	186	1508	352	153	412	592	2274	54	762	679	780	2063	1201	630	92	140	632	148	129	270	85	352	96	111	70	930	110	10902	14556	11460
Chi phí tài chính###Financial Expenses	41	25	0	0	0	0	0	0	0	0	0	0	47	0	38	0	9	795	656	48	54	38	2485	502	1022	772	188	1176	287	210	125	1875	891	98	51	2
Chi phí bán hàng###Selling Expenses	8184	5909	29011	7228	6511	8720	6552	33671	10180	8190	9543	5758	34441	9587	8249	8927	7678	37457	9506	9526	10386	8039	42972	13891	12013	8779	8289	34704	10722	8776	8046	41572	11380	32516	17752	13464
Chi phí quản lý doanh nghiệp###Managing Expenses	9674	4154	21644	5381	4981	6309	4973	24114	6391	5990	6391	5342	27299	5489	6603	7916	7292	31549	7682	7809	9086	6973	32745	8001	8475	7125	9144	33639	8482	6402	9549	33183	8245	31469	20952	13286
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2475	1248	13803	6259	3331	2904	1309	16048	6384	3335	5322	1007	15389	2019	3937	3774	5659	26457	6937	7859	6042	5619	33264	6294	11643	8035	6411	39738	8929	9101	10643	42486	4513	50015	37175	40212
Thu nhập khác###Other incomes	2701	12	12	12	0	0	0	203	203	0	0	0	1651	21	1630	0	0	3638	11	0	3627	0	1934	1329	6	0	0	78	0	42	35	174	124	48	13	374
Chi phí khác###Other Expenses	36	0	61	0	61	0	0	2	2	0	0	0	362	0	0	361	1	780	0	0	780	0	2	2	0	0	0	1496	0	0	0	279	279	0	0	0
Lợi nhuận khác###Other profits	2664	12	-49	12	-61	0	0	201	201	0	0	0	1289	21	1630	-361	-1	2858	11	0	2847	0	1933	1327	6	0	0	-1419	0	42	35	-105	-155	47	13	374
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	5139	1260	13754	6271	3269	2904	1309	16249	6586	3335	5322	1007	16677	2040	5567	3412	5659	29315	6948	7859	8889	5619	35197	7621	11648	8035	6411	38319	8928	9144	10678	42381	4358	50062	37187	40586
Chi phí thuế TNDN###Corporate Income Tax Expenses	1051	280	2864	1368	654	581	262	3351	1418	667	1064	201	3782	483	1213	957	1128	5962	1488	1572	1778	1124	7913	1846	2562	1768	1410	8752	1964	2088	2341	10972	1089	9686	9536	10199
Chi phí thuế TNDN###Corporate Income Tax Expenses	1051	280	2864	1368	654	581	262	3351	1418	667	1064	201	3782	483	1213	957	1128	5962	1488	1572	1778	1124	7913	1846	2562	1768	1410	8752	1964	2088	2341	10972	1089	9686	9536	10199
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3843	1225	10890	6129	3270	2061	1310	12898	6459	3335	4257	201	12895	389	1088	-1133	1133	23353	5460	6287	7111	4495	27284	5775	9086	6267	5001	29567	6964	7055	8337	31409	3268	40376	27651	30387
---Cac Chi So Tai Chinh---																																				
EBITDA	-0.04	0.29	1.01	1.01	-0.18	-0.02	-0.15	-0.13	-0.13	0.16	0.06	0.31	0.25	0.25	-0.20	0.38	0.61	0.77	0.77	0.81	0.50	0.21	0.07	0.07	-0.10	-0.19	-4.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	7.20	6.90	6.40	6.40	5.70	5.83	8.88	6.37	6.37	8.08	7.54	7.85	7.21	7.21	7.37	8.97	8.71	7.57	7.57	7.57	7.50	7.65	9.69	9.69	6.66	7.77	8.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
