CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	21586	18720	21483	21483	22188	22420	20654	22273	22227	21984	21672	20657	22955	22953	22789	29905	29251	40234	40393	25203	22081	21265	30218	30251	27445	22389	21755	26557	26206	26336	29881	26216	33103	33108	25356	29383	25883	36520	37590	27672	36275	30476
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4657	7125	9243	9243	8795	7486	6943	11506	11458	4532	4793	6071	4885	4885	2968	2191	4065	174	174	1998	299	315	130	130	431	19	1697	1308	1308	2500	1170	847	1591	1591	1263	1995	1921	1700	700	925	1061	566
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	6338	6232	453	453	427	536	4832	491	591	771	819	883	950	951	1039	1265	1139	939	939	707	1150	1297	1177	1397	1087	1199	1181	866	866	744	560	674	586	586	420	438	499	472	1472	525	263	910
Các khoản phải thu ngắn hạn###Short term Account Receivables	6881	4566	11189	11189	7374	13440	5948	9155	9047	14423	14998	8162	13665	13661	14156	18616	14819	26849	27007	17692	18546	15602	27162	25281	20849	19509	13641	23950	20970	16191	21156	17413	26682	26642	19696	22998	17040	30744	30876	16803	30979	24893
Hàng tồn kho###Inventory	3315	645	562	562	4878	895	2687	1087	1087	2110	907	4620	3320	3320	4129	7586	8262	12231	12231	3891	1836	3215	1691	1711	2411	1495	2804	372	372	2023	3308	3794	210	210	855	1283	3519	1034	1953	5709	1639	2744
Tài sản ngắn hạn khác###Other Current Assets	394	152	38	38	714	64	244	34	44	149	155	922	136	135	496	247	965	41	41	914	249	837	59	1733	2668	168	2432	61	2690	4878	3687	3489	4033	4078	3121	2669	2905	2569	2589	3710	2333	1363
Tài sản dài hạn###Non-current Assets	4936	4611	4702	4702	5121	5330	5520	5662	5652	5725	5822	6034	5882	6001	6049	6295	6414	6501	6501	6731	6933	7119	7302	7280	7414	7068	7327	7142	7142	6828	6892	6864	5150	5150	4100	4608	4566	4127	3877	4211	4045	5655
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1847	1908	2040	2040	2395	2545	2620	2766	2766	2866	3010	3157	3258	3258	3234	3412	3590	3631	3631	3814	3997	4139	4320	4320	4530	4108	4199	4349	4349	3998	4133	4145	2905	2905	2411	2542	2866	2952	2952	3086	3095	3655
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-8049	-7958	-7826	-7826	-8306	-8156	-8005	-7859	-7859	-7712	-7569	-7422	-7253	-7253	-7795	-7618	-7439	-7301	-7301	-7118	-7332	-7150	-6969	-6969	-6759	-6601	-6452	-6360	-6360	-6205	-6070	-5936	-5850	-5850	-5745	-5613	-5874	-5762	-5762	-5615	-5366	-5003
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	2381	2381	2381	2381	2381	2381	2381	2381	2381	2381	2381	2381	2381	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2415	2500	2500	2500	2500	2500	2500	2500	2021	2021	1475	1825	1700	1175	925	1125	950	2000
Tài sản dài hạn khác###Other long term assets	328	323	281	281	346	405	445	495	484	478	431	496	243	243	315	383	323	370	370	416	437	481	483	460	470	460	628	293	293	329	259	219	223	223	213	241	0	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	26521	23332	26185	26185	27309	27751	26174	27935	27879	27710	27493	26691	28837	28954	28838	36200	35664	46736	46894	31934	29014	28385	37520	37531	34860	29458	29082	33699	33348	33164	36772	33080	38253	38257	29456	33991	30449	40647	41467	31882	40319	36132
Nợ phải trả ###Liabilities	11898	8443	11220	11220	12469	12922	11206	12991	12877	12584	12623	10959	13211	13303	13389	20890	18128	29656	29699	16628	13889	11804	21202	20697	18091	14108	11843	16220	15577	17184	22284	18283	23413	23405	15099	19746	15504	26195	26313	16974	25268	22073
Nợ ngắn hạn###Short term Liabilities	11390	7913	10736	11220	12469	12477	11206	12991	12877	12584	12623	10959	13211	13303	13389	20890	18128	29656	29699	16628	13889	11804	20843	20338	17661	13738	11843	15953	15577	17184	22284	18283	23413	23405	15099	19746	15504	26195	26313	16981	25268	21144
Nợ dài hạn###Long term Liabilities	509	530	483	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	359	430	370	0	267	0	0	0	0	0	0	0	0	0	0	0	-7	0	929
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	14623	14889	14966	14966	14840	14828	14968	14944	15002	15126	14870	15732	15627	15651	15449	15310	17537	17080	17195	15306	15125	16581	16318	16834	16769	15349	17239	17479	17771	15980	14489	14797	14840	14852	14357	14245	14945	14452	15154	14908	15052	14058
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	552	0	316	0	316	335	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	14623	14889	14966	14966	14840	14828	14968	14944	15002	15126	14870	15732	15627	15651	15449	15310	17537	17080	17195	15306	15125	16581	16318	16282	16217	15349	16924	17479	17455	15645	14489	14797	14840	14852	14357	14245	14945	14452	15154	14908	15052	14058
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36772	33080	38253	38253	29456	33991	30449	40647	41467	31882	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	800	3642	20999	11031	1005	8089	873	30227	4843	6588	14698	4098	45369	8182	13059	10903	13226	39649	25529	4117	6759	3463	29489	481	9741	8141	126	27366	8442	7790	9475	1669	30662	16433	3761	9326	1142	35139	17669	5289	37981	34113
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	800	3642	20999	11031	1005	8089	873	30227	4843	6588	14698	4098	45369	8182	13059	10903	13226	39649	25310	4117	6759	3463	29489	481	9741	8141	126	27366	8442	7790	9475	1669	30662	16433	3761	9326	1142	35139	17669	5289	37981	34113
Giá vốn hàng bán###Cost of goods sold	649	3010	18988	10102	923	7290	672	25486	3804	5316	12785	3581	42206	7931	12306	9912	11926	33909	21912	3258	6189	2551	24300	468	7548	7128	165	21703	7080	5170	7657	1915	26017	16222	3133	8678	974	32167	16226	3524	30837	26600
Lợi nhuận gộp###Gross profit	152	632	2011	929	83	799	201	4741	1039	1272	1913	516	3163	250	753	991	1300	5739	3398	859	570	913	5189	13	2193	1013	-39	5663	1361	2619	1818	-246	4645	212	628	648	168	2972	1444	1765	7144	7513
Doanh thu hoạt động tài chính###Financial activities Revenues	211	69	721	154	75	421	71	411	30	73	231	22	619	267	65	391	12	214	211	1	1	3	278	0	2	264	3	300	19	2	265	14	58	13	1	19	25	279	17	44	260	60
Chi phí tài chính###Financial Expenses	-106	22	39	-26	109	-3	-41	479	284	52	70	73	80	95	245	-91	-171	452	-144	471	172	-47	163	101	299	31	-275	-647	-98	-157	162	-555	-937	-712	371	-58	-538	-248	269	261	2051	972
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	417	734	2667	1347	181	840	298	3945	969	1000	1629	328	3825	1246	742	1254	898	4600	2922	259	766	630	2686	4	782	-705	644	5510	1968	2031	1416	438	4104	239	227	595	37	2285	1119	267	3907	3918
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	52	-55	26	-239	-132	382	15	727	-185	293	444	137	-122	-824	-169	219	585	902	831	130	-367	332	2618	-91	1114	1951	-404	1100	-490	746	505	-115	1537	698	31	130	694	1213	73	1280	1446	2683
Thu nhập khác###Other incomes	220	0	681	734	150	0	21	128	209	25	4	0	1546	1110	335	11	4	2857	1492	124	1241	0	579	281	2	296	0	3925	2832	828	609	79	351	2	152	189	8	711	39	90	939	1484
Chi phí khác###Other Expenses	0	22	21	243	0	0	2	204	171	9	24	0	272	57	0	19	13	170	5	20	24	0	54	16	0	8	27	129	23	85	15	7	171	33	27	28	83	394	-4	144	297	81
Lợi nhuận khác###Other profits	219	-22	659	491	150	0	19	-76	38	16	-20	0	1273	1053	335	-8	-9	2687	1487	104	1217	0	525	265	2	288	-27	3796	2809	743	594	73	180	-31	126	161	-75	317	43	-54	642	1403
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	271	-77	685	252	17	382	34	651	-147	309	424	137	1151	229	166	211	577	3589	2318	234	850	332	3143	173	1116	2239	-431	4896	2319	1489	1099	-43	1717	667	156	291	619	1531	115	1226	2088	4086
Chi phí thuế TNDN###Corporate Income Tax Expenses	44	0	160	126	6	19	9	116	-23	54	68	32	143	27	28	-24	120	695	428	53	174	69	846	108	248	479	0	1030	509	333	181	0	466	172	45	0	0	321	0	0	394	1022
Chi phí thuế TNDN###Corporate Income Tax Expenses	44	0	160	126	6	19	9	116	-23	54	68	32	143	27	28	-24	120	695	428	53	174	69	846	108	248	479	0	1030	509	333	181	0	466	172	45	127	126	321	-131	340	394	1022
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	228	-77	525	126	11	363	25	535	-124	256	356	105	1008	203	138	235	457	2894	1890	180	676	263	2298	65	868	1760	-431	3866	1810	1156	918	-43	1251	495	112	163	494	1210	246	887	1695	3065
---Cac Chi So Tai Chinh---																																										
EBITDA	0.04	-0.03	0.59	0.59	1.10	1.76	0.74	0.77	0.77	0.71	0.22	0.53	-0.11	-0.11	-0.09	-0.05	0.33	-0.18	-0.18	-0.19	-0.47	-0.57	-0.03	-0.03	-0.11	-0.03	0.13	-0.21	-0.21	-0.23	-0.12	-0.02	0.56	0.56	0.56	0.65	0.77	1.25	1.25	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.30	7.51	4.17	4.17	7.97	7.60	8.81	4.54	4.54	5.87	6.41	8.53	9.34	9.34	9.82	10.87	8.41	7.50	7.50	8.27	8.55	7.07	7.44	7.44	7.81	5.96	6.82	5.22	5.22	5.38	4.82	4.13	3.71	3.71	3.71	3.71	4.17	4.51	4.51	0.00	0.00	0.00
